brandstof_omschrijving,brandstof_volgnummer,brandstofverbruik_buiten,brandstofverbruik_gecombineerd,brandstofverbruik_stad,co2_uitstoot_gecombineerd,emissiecode_omschrijving,geluidsniveau_stationair,kenteken,milieuklasse_eg_goedkeuring_licht,nettomaximumvermogen,toerental_geluidsniveau,co2_uitstoot_gewogen,geluidsniveau_rijdend,nominaal_continu_maximumvermogen,uitstoot_deeltjes_licht,roetuitstoot
Diesel,1,6.60,7.90,10.10,208,NA,83,95LZK2,R/83-05,85.00,2625,NA,73,NA,0.00200,0.54
Benzine,1,4.90,6.10,8.20,145,Euro 4,85,39SGRT,70/220*2003/76B,54.00,4050,NA,74,NA,NA,NA
Benzine,1,6.40,7.80,10.30,187,Euro 4,87,31ZDRS,70/220*2003/76B,103.00,4725,NA,73,NA,NA,NA
Benzine,1,4.90,6.00,7.90,143,Euro 3,82,43RHGS,70/220*2002/80A,54.00,4050,NA,72,NA,NA,NA
Benzine,1,5.40,6.60,8.60,158,Euro 4,82,83RHKD,70/220*2002/80B,77.00,4500,NA,71,NA,NA,NA
Benzine,1,4.40,4.90,5.80,115,Euro 5,81,22SZG8,715/2007*692/2008A,51.00,4125,NA,NA,NA,NA,NA
Benzine,1,5.10,6.40,8.60,149,Euro 6,79,KN606L,715/2007*2015/45W,77.00,3750,NA,74,NA,NA,NA
Benzine,1,3.80,4.30,5.10,99,Euro 5,81,92ZVP1,715/2007*566/2011F,50.00,3750,NA,71,NA,NA,NA
Benzine,1,4.90,5.80,7.30,134,Euro 5,82,95KFP7,715/2007*692/2008F,92.00,3750,NA,NA,NA,0.00144,NA
Diesel,1,3.20,3.60,4.30,95,Euro 5,80,05TJH9,715/2007*692/2008A,70.00,3000,NA,NA,NA,0.00012,0.50
Benzine,1,4.20,4.90,6.20,114,Euro 6,77,NJ664L,715/2007*136/2014W,110.00,3750,NA,70,NA,0.00200,NA
Benzine,1,4.40,5.10,6.20,118,Euro 5,78,37TLT6,715/2007*692/2008F,63.00,3600,NA,NA,NA,0.00170,NA
Benzine,1,4.30,5.40,7.10,124,Euro 5,83,43XVZ9,715/2007*566/2011F,44.00,3750,NA,NA,NA,NA,NA
Benzine,1,NA,NA,NA,NA,Euro 5,48,1SVP68,715/2007*459/2012J,63.00,NA,27.00000,69,NA,NA,NA
Elektriciteit,2,NA,NA,NA,NA,Euro 5,NA,1SVP68,715/2007*459/2012J,NA,NA,NA,NA,111.00,NA,NA
Benzine,1,5.10,6.00,7.60,139,Euro 6,76,GH380G,715/2007*136/2014W,103.00,3750,NA,NA,NA,NA,NA
