brandstof_omschrijving,brandstof_volgnummer,brandstofverbruik_buiten,brandstofverbruik_gecombineerd,brandstofverbruik_stad,co2_uitstoot_gecombineerd,emissiecode_omschrijving,geluidsniveau_stationair,kenteken,milieuklasse_eg_goedkeuring_licht,nettomaximumvermogen,toerental_geluidsniveau,co2_uitstoot_gewogen,geluidsniveau_rijdend,nominaal_continu_maximumvermogen,uitstoot_deeltjes_licht,roetuitstoot
Diesel,1,4.90,5.80,7.20,152,Euro 5,75,RV825B,715/2007*630/2012J,180.00,2375,NA,74,NA,0.00043,0.50
Benzine,1,4.10,4.90,6.20,114,Euro 6,82,JX978L,715/2007*136/2014W,66.00,3750,NA,70,NA,NA,NA
Benzine,1,4.70,5.10,5.90,117,Euro 6,73,PJ944J,715/2007*2016/646W,85.00,3750,NA,68,NA,0.00068,NA
Benzine,1,NA,NA,NA,NA,Euro 5,48,56XTV3,715/2007*566/2011F,63.00,NA,27.00000,69,NA,NA,NA
Elektriciteit,2,NA,NA,NA,NA,Euro 5,NA,56XTV3,715/2007*566/2011F,NA,NA,NA,NA,111.00,NA,NA
Benzine,1,5.20,6.30,8.20,151,Euro 4,80,37SGDN,70/220*2003/76B,66.00,4200,NA,71,NA,NA,NA
Benzine,1,4.00,4.60,5.60,107,Euro 5,75,PT345K,NA,60.00,3750,NA,73,NA,NA,NA
Benzine,1,4.30,5.00,6.10,116,Euro 5,73,4KVF18,715/2007*630/2012J,90.00,3750,NA,NA,NA,0.00016,NA
Benzine,1,5.80,7.20,9.60,169,Euro 6,75,19ZPH1,715/2007*459/2012W,88.00,3675,NA,NA,NA,NA,NA
Benzine,1,4.30,5.10,6.30,117,Euro 6,77,RX406K,715/2007*136/2014W,110.00,3750,NA,70,NA,0.00196,NA
Benzine,1,3.40,3.80,4.50,88,Euro 6,76,SP528L,715/2007*2016/646W,51.00,3750,NA,69,NA,NA,NA
Diesel,1,3.20,3.60,4.20,93,Euro 5,74,25XGZ3,715/2007*692/2008A,68.00,3000,NA,NA,NA,0.00053,0.51
Benzine,1,4.40,5.10,6.20,118,Euro 5,78,41SKR5,715/2007*692/2008F,63.00,3600,NA,NA,NA,0.00170,NA
Benzine,1,4.20,4.90,6.00,114,Euro 5,74,87ZNR3,715/2007*566/2011J,74.00,3750,NA,NA,NA,0.00167,NA
Diesel,1,4.10,4.90,6.30,132,Euro 4,83,41RKLT,70/220*2003/76B,59.00,3300,NA,71,NA,0.01600,1.20
Benzine,1,3.80,4.30,5.10,98,Euro 6,83,NL334B,715/2007*136/2014W,70.00,3750,NA,69,NA,0.00081,NA
Benzine,1,4.40,4.90,5.80,115,Euro 5,81,47XPS5,715/2007*692/2008F,51.00,4125,NA,NA,NA,NA,NA
Benzine,1,4.90,5.80,7.30,134,Euro 5,82,78XLK9,715/2007*692/2008F,92.00,3750,NA,NA,NA,0.00144,NA
Diesel,1,4.00,4.50,5.40,119,Euro 6,77,RZ109R,715/2007*2016/646ZA,100.00,3000,NA,67,NA,NA,0.50
Benzine,1,6.60,8.20,10.80,190,Euro 5,73,72PFL7,715/2007*692/2008F,220.00,3750,NA,NA,NA,0.00295,NA
Benzine,1,4.40,4.90,5.80,115,Euro 5,81,51RDG6,715/2007*692/2008A,51.00,4125,NA,NA,NA,NA,NA
Diesel,1,4.10,4.40,4.90,113,Euro 6,72,PS758X,715/2007*2015/45W,88.00,2700,NA,68,NA,0.00059,0.50
Benzine,1,3.80,4.30,5.10,99,Euro 5,76,8ZLL90,715/2007*195/2013J,48.00,3750,NA,NA,NA,0.00178,NA
Benzine,1,5.00,6.10,8.00,143,Euro 5,73,20NKX1,715/2007*692/2008F,88.00,3600,NA,NA,NA,NA,NA
Benzine,1,3.80,4.30,5.10,99,Euro 5,81,01XRG4,715/2007*566/2011F,50.00,3750,NA,71,NA,NA,NA
Benzine,1,4.40,5.50,7.30,127,Euro 5,83,05PVK1,715/2007*692/2008A,44.00,3750,NA,NA,NA,NA,NA
Benzine,1,5.60,7.30,10.50,169,Euro 5,76,03PPR9,715/2007*692/2008A,115.00,3750,NA,NA,NA,0.00182,NA
Benzine,1,4.80,5.80,7.50,138,Euro 3,81,86RLPP,70/220*2001/100A,44.00,4125,NA,71,NA,NA,NA
Benzine,1,4.00,4.50,5.30,103,Euro 6,72,PL500K,715/2007*136/2014W,77.00,3750,NA,69,NA,0.00240,NA
Benzine,1,5.40,6.90,9.50,164,Euro 4,81,10HJP3,70/220*2006/96B,75.00,3800,NA,NA,NA,NA,NA
Benzine,1,4.40,4.90,5.80,115,Euro 5,81,96SHT4,715/2007*692/2008A,51.00,4125,NA,NA,NA,NA,NA
Benzine,1,6.40,7.50,9.40,175,Euro 5,71,89PPG5,715/2007*692/2008F,155.00,3750,NA,NA,NA,0.00152,NA
Diesel,1,4.00,4.40,5.20,116,Euro 6,73,SN661V,715/2007*136/2014W,110.00,2375,NA,69,NA,NA,0.50
Benzine,1,5.00,6.10,8.00,143,Euro 5,73,63PLL5,715/2007*692/2008F,88.00,3600,NA,NA,NA,NA,NA
Benzine,1,5.50,6.70,8.70,161,Euro 4,82,01TRXH,70/220*2003/76B,77.00,4500,NA,71,NA,NA,NA
Benzine,1,6.30,8.00,11.10,190,NA,78,59SGDJ,NA,103.00,4500,NA,71,NA,NA,NA
LPG,2,6.30,8.00,11.10,190,NA,78,59SGDJ,NA,103.00,4500,NA,71,NA,NA,NA
Benzine,1,4.20,4.90,6.00,114,Euro 5,74,7KJH68,715/2007*630/2012J,74.00,3750,NA,NA,NA,0.00167,NA
Benzine,1,5.80,7.20,9.60,169,Euro 6,75,7TNS73,715/2007*459/2012W,103.00,3675,NA,NA,NA,NA,NA
Benzine,1,4.90,5.80,7.30,134,Euro 5,82,96LLF4,715/2007*692/2008F,92.00,3750,NA,NA,NA,0.00144,NA
Diesel,1,3.10,3.40,3.90,88,Euro 5,71,6KSV31,715/2007*566/2011J,77.00,2700,NA,NA,NA,0.00026,0.50
Diesel,1,3.20,3.60,4.30,95,Euro 5,74,20XBV6,715/2007*692/2008A,68.00,3000,NA,NA,NA,0.00053,0.51
Diesel,1,4.30,5.50,7.50,144,Euro 4,75,PF190B,70/220*2006/96B,100.00,3150,NA,72,NA,0.00200,0.50
Benzine,1,3.40,3.80,4.50,88,Euro 6,76,KF494B,715/2007*2015/45W,51.00,3750,NA,69,NA,NA,NA
Benzine,1,5.40,6.60,8.60,158,Euro 4,82,36SFLZ,70/220*2003/76B,77.00,4500,NA,71,NA,NA,NA
Benzine,1,4.40,5.10,6.30,119,Euro 4,81,63LNR3,70/220*2003/76B,51.00,4125,NA,72,NA,NA,NA
Diesel,1,3.60,4.20,5.20,110,Euro 5,75,73ZVJ5,715/2007*566/2011F,68.00,3000,NA,NA,NA,0.00049,0.51
Benzine,1,4.70,5.30,6.30,120,Euro 6,70,PR797Z,715/2007*2015/45W,92.00,3750,NA,68,NA,0.00279,NA
Benzine,1,4.90,6.40,9.00,149,Euro 5,77,59PZP2,715/2007*692/2008A,88.00,3750,NA,NA,NA,NA,NA
Diesel,1,4.00,4.50,5.30,119,Euro 5,77,5KDV45,715/2007*459/2012J,96.00,3000,NA,NA,NA,0.00015,0.50
Benzine,1,3.70,4.10,5.10,94,Euro 6,74,PT297J,715/2007*2015/45W,55.00,3750,NA,71,NA,NA,NA
Benzine,1,5.30,6.20,7.80,143,Euro 6,72,PT752Z,715/2007*2016/646W,88.30,3750,NA,70,NA,0.00268,NA
Diesel,1,3.00,3.10,3.40,82,Euro 6,75,HR676G,715/2007*136/2014W,70.00,2813,NA,68,NA,0.00030,0.50
Diesel,1,4.50,4.90,5.60,129,Euro 5,74,NJ693F,715/2007*630/2012J,110.00,2375,NA,70,NA,NA,0.50
Benzine,1,4.10,4.60,5.50,106,Euro 5,78,82TJN4,715/2007*692/2008F,50.00,3750,NA,71,NA,NA,NA
Diesel,1,3.20,3.60,4.30,95,Euro 5,80,76THK9,715/2007*692/2008A,70.00,3000,NA,NA,NA,0.00012,0.50
Benzine,1,4.30,5.10,6.30,117,Euro 6,76,SN378K,715/2007*136/2014W,110.00,3750,NA,70,NA,0.00220,NA
Benzine,1,3.40,3.80,4.50,88,Euro 6,76,KD008D,715/2007*2015/45W,51.00,3750,NA,69,NA,NA,NA
Diesel,1,5.20,6.00,7.40,159,Euro 5,73,9KBB84,715/2007*566/2011F,120.00,2813,NA,68,NA,0.00045,0.51
Benzine,1,5.30,6.70,9.10,155,Euro 5,80,57HDR2,715/2007*692/2008A,118.00,3800,NA,NA,NA,0.00140,NA
Benzine,1,4.30,5.10,6.30,117,Euro 6,77,HV676H,715/2007*136/2014W,110.00,3750,NA,70,NA,0.00200,NA
Benzine,1,5.50,7.00,9.50,167,Euro 4,83,15RHRH,70/220*2001/100B,74.00,4500,NA,72,NA,NA,NA
Benzine,1,3.70,4.10,5.10,94,Euro 6,74,RD817L,715/2007*2015/45W,55.00,3750,NA,71,NA,NA,NA
Diesel,1,4.00,4.30,4.80,114,Euro 6,77,7ZTP28,715/2007*136/2014W,100.00,3000,NA,NA,NA,0.00044,0.52
Benzine,1,4.40,4.90,5.80,115,Euro 5,81,88XFL6,715/2007*692/2008F,51.00,4125,NA,NA,NA,NA,NA
Benzine,1,3.40,3.80,4.50,88,Euro 5,76,8XDG53,715/2007*136/2014J,51.00,3750,NA,NA,NA,NA,NA
Diesel,1,3.10,3.40,3.90,88,Euro 5,71,35ZSH2,715/2007*566/2011J,77.00,2700,NA,69,NA,0.00026,0.50
Benzine,1,4.70,5.80,7.70,139,Euro 4,81,77TVHJ,70/220*2003/76B,59.00,4200,NA,NA,NA,NA,NA
Benzine,1,5.40,6.70,8.90,161,Euro 4,83,31XPJX,70/220*2003/76B,77.00,4500,NA,69,NA,NA,NA
Benzine,1,4.10,4.70,5.70,108,Euro 6,73,PS449L,715/2007*2015/45W,92.00,3750,NA,67,NA,0.00218,NA
Benzine,1,6.40,8.30,11.50,197,Euro 3,83,50PVXK,70/220*1999/102A,100.00,4500,NA,71,NA,NA,NA
Benzine,1,4.40,5.50,7.30,127,Euro 5,83,17RDG9,715/2007*692/2008A,44.00,3750,NA,NA,NA,NA,NA
Benzine,1,5.60,6.80,8.90,159,Euro 5,71,3KLF47,715/2007*566/2011F,155.00,3750,NA,NA,NA,0.00050,NA
Benzine,1,6.10,7.00,8.40,159,Euro 6,74,SL757R,715/2007*2016/646W,185.00,3750,NA,66,NA,0.00011,NA
Benzine,1,6.50,8.40,11.70,200,Euro 4,89,12TLLS,70/220*2003/76B,130.00,5250,NA,74,NA,NA,NA
Benzine,1,3.90,4.50,5.50,102,Euro 5,74,9TSK69,715/2007*630/2012J,60.00,3750,NA,NA,NA,NA,NA
Benzine,1,6.80,9.30,13.80,224,NA,85,39HKK1,NA,166.00,4500,NA,NA,NA,NA,NA
Benzine,1,5.50,6.70,8.70,159,NA,82,18HNK5,NA,74.00,4500,NA,NA,NA,NA,NA
Diesel,1,3.90,4.20,4.70,110,Euro 6,68,GB999X,715/2007*136/2014W,140.00,2375,NA,NA,NA,NA,0.50
Benzine,1,3.70,4.30,5.40,99,Euro 6,72,NL195K,715/2007*2015/45W,74.00,3750,NA,69,NA,0.00135,NA
Benzine,1,3.80,4.30,5.30,100,Euro 6,74,JD630P,715/2007*136/2014W,66.00,3750,NA,70,NA,0.00190,NA
Benzine,1,4.20,4.70,5.60,109,Euro 5,77,84TST7,715/2007*692/2008F,50.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.90,6.00,8.00,139,Euro 5,83,57RGV8,715/2007*692/2008A,54.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.20,4.90,6.00,114,Euro 6,73,PV900R,715/2007*2015/45W,74.00,3750,NA,71,NA,0.00184,NA
Benzine,1,4.00,4.70,5.80,110,Euro 6,82,NR061T,715/2007*136/2014W,66.00,3750,NA,68,NA,NA,NA
Benzine,1,4.70,6.20,8.80,143,Euro 5,77,7KKT26,715/2007*566/2011F,88.00,3750,NA,NA,NA,NA,NA
Benzine,1,6.60,8.90,12.90,211,Euro 4,84,40XGRK,70/220*2003/76B,103.00,4500,NA,72,NA,NA,NA
Benzine,1,3.70,4.30,5.30,99,Euro 5,73,9TKD38,715/2007*630/2012J,74.00,3750,NA,NA,NA,0.00180,NA
Diesel,1,3.10,3.40,3.80,89,Euro 6,77,KN139G,715/2007*136/2014W,81.00,2625,NA,70,NA,0.00010,0.51
Diesel,1,3.60,4.30,5.60,115,NA,78,26KJD4,NA,80.00,3000,NA,NA,NA,0.00050,0.60
Benzine,1,5.70,7.20,9.60,168,Euro 5,75,57RZG9,715/2007*692/2008F,103.00,3750,NA,73,NA,NA,NA
Benzine,1,4.80,5.30,6.30,121,Euro 6,76,RV669V,715/2007*2016/646W,81.00,3750,NA,69,NA,0.00250,NA
Benzine,1,4.60,5.20,6.20,119,Euro 6,74,SX294L,715/2007*2016/646W,92.00,3750,NA,69,NA,0.00090,NA
Benzine,1,4.50,5.00,5.90,115,Euro 5,77,94XKK7,715/2007*692/2008F,69.00,3750,NA,NA,NA,NA,NA
Benzine,1,5.90,7.40,10.00,177,Euro 4,84,81KGG7,70/220*2003/76B,103.00,4725,NA,73,NA,NA,NA
Benzine,1,3.40,3.80,4.50,88,Euro 6,76,JP385R,715/2007*2015/45W,51.00,3750,NA,69,NA,NA,NA
Benzine,1,3.90,4.30,5.00,98,Euro 6,75,HS458Z,715/2007*195/2013W,60.00,3750,NA,70,NA,NA,NA
Diesel,1,3.90,4.30,5.00,114,Euro 5,72,53XFL7,715/2007*692/2008A,85.00,2700,NA,NA,NA,0.00189,0.53
Benzine,1,4.20,5.10,6.60,119,Euro 6,75,NK844D,715/2007*136/2014W,64.00,3750,NA,70,NA,NA,NA
Benzine,1,4.90,5.80,7.40,136,Euro 5,77,3XKT92,715/2007*459/2012J,88.00,3675,NA,NA,NA,NA,NA
Benzine,1,5.30,6.20,7.80,143,Euro 6,72,SJ261Z,715/2007*2016/646W,88.30,3750,NA,70,NA,0.00268,NA
Benzine,1,4.60,5.70,7.50,133,NA,80,08JHJ4,NA,60.00,4350,NA,NA,NA,NA,NA
Elektriciteit,2,NA,NA,NA,NA,Euro 5,NA,88XXV3,715/2007*566/2011F,NA,NA,NA,NA,111.00,NA,NA
Benzine,1,NA,NA,NA,NA,Euro 5,48,88XXV3,715/2007*566/2011F,63.00,NA,27.00000,69,NA,NA,NA
Diesel,1,3.80,4.20,4.90,109,Euro 5,74,93TJN4,715/2007*692/2008A,82.00,2700,NA,NA,NA,0.00059,0.51
Benzine,1,5.20,6.80,9.50,155,Euro 5,75,5SLJ54,715/2007*630/2012J,115.00,3750,NA,NA,NA,0.00031,NA
Diesel,1,3.90,4.20,4.70,110,Euro 6,68,5ZKH77,715/2007*136/2014W,110.00,2375,NA,70,NA,0.00016,0.50
Benzine,1,4.40,5.10,6.40,115,Euro 6,75,PH507S,715/2007*2015/45W,96.00,3750,NA,72,NA,0.00191,NA
Benzine,1,4.20,5.00,6.30,117,Euro 6,82,KL246Z,715/2007*136/2014W,66.00,3750,NA,70,NA,NA,NA
Diesel,1,3.80,4.30,5.10,112,Euro 5,71,3KJT10,715/2007*630/2012F,85.00,2700,NA,NA,NA,0.00044,0.53
Benzine,1,4.60,5.60,7.40,130,Euro 6,75,JH753J,715/2007*195/2013W,121.40,3750,NA,70,NA,0.00030,NA
Benzine,1,4.70,5.90,7.80,138,Euro 5,73,47LGB4,715/2007*692/2008A,103.00,3675,NA,NA,NA,NA,NA
Benzine,1,4.70,5.80,7.70,139,Euro 4,81,80ZLSG,70/220*2003/76B,59.00,4200,NA,NA,NA,NA,NA
Diesel,1,3.90,4.40,5.30,116,Euro 5,77,30XDD1,715/2007*566/2011J,96.00,3000,NA,NA,NA,0.00015,0.50
Benzine,1,5.30,6.40,8.30,154,Euro 4,80,17GRH3,70/220*2003/76B,66.00,4200,NA,72,NA,NA,NA
Benzine,1,4.90,6.10,8.20,145,Euro 4,85,98SRND,70/220*2003/76B,54.00,4050,NA,74,NA,NA,NA
Benzine,1,4.20,4.80,5.60,109,Euro 6,75,SG518D,715/2007*2016/646W,81.00,3750,NA,68,NA,0.00150,NA
Diesel,1,3.80,4.00,4.50,106,Euro 6,71,PK790Z,715/2007*2015/45W,88.00,2625,NA,69,NA,0.00014,0.51
Benzine,1,5.10,6.00,7.60,144,Euro 4,80,84RGVP,70/220*2002/80B,59.00,4200,NA,72,NA,NA,NA
Benzine,1,6.90,8.80,12.10,211,Euro 4,82,49RJHJ,70/220*2003/76B,114.00,4200,NA,74,NA,NA,NA
Diesel,1,3.90,4.50,5.50,119,Euro 5,76,44RJV5,715/2007*692/2008A,81.00,2850,NA,NA,NA,0.00046,0.50
Benzine,1,3.80,4.30,5.30,100,Euro 6,74,JP034V,715/2007*136/2014W,66.00,3750,NA,70,NA,0.00190,NA
Benzine,1,3.90,4.50,5.50,106,Euro 4,80,08KVJ2,70/220*2003/76B,50.00,4500,NA,71,NA,NA,NA
Benzine,1,5.00,6.10,8.00,143,Euro 5,73,02RXH7,715/2007*692/2008F,88.00,3600,NA,NA,NA,NA,NA
Benzine,1,3.90,4.50,5.50,106,Euro 6,74,GV245K,715/2007*136/2014W,66.00,3750,NA,NA,NA,0.00191,NA
Benzine,1,4.40,5.30,6.80,125,Euro 5,84,18SRN9,715/2007*566/2011A,63.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.50,5.10,6.20,117,Euro 6,68,SR612V,715/2007*136/2014W,92.00,3750,NA,67,NA,0.00308,NA
Elektriciteit,2,NA,NA,NA,NA,Euro 5,NA,68ZJP7,715/2007*566/2011F,NA,NA,NA,NA,111.00,NA,NA
Benzine,1,NA,NA,NA,NA,Euro 5,48,68ZJP7,715/2007*566/2011F,63.00,NA,27.00000,69,NA,NA,NA
Benzine,1,4.10,4.90,6.20,114,Euro 6,82,RG187R,715/2007*136/2014W,66.00,3750,NA,70,NA,NA,NA
Benzine,1,3.70,4.30,5.40,99,Euro 6,73,HG805H,715/2007*136/2014W,55.00,3750,NA,71,NA,NA,NA
Diesel,1,3.00,3.20,3.80,85,Euro 5,69,6TGZ92,715/2007*630/2012J,81.00,2375,NA,NA,NA,NA,0.50
Benzine,1,5.00,5.90,7.50,138,Euro 6,76,RF443R,715/2007*2015/45W,103.00,3750,NA,72,NA,NA,NA
Benzine,1,3.80,4.30,5.10,99,Euro 6,78,NS125V,715/2007*2015/45W,48.00,3750,NA,70,NA,0.00120,NA
Benzine,1,4.20,4.80,5.90,111,Euro 6,74,KT577T,715/2007*2016/427W,110.00,3750,NA,68,NA,0.00014,NA
Benzine,1,4.00,4.50,5.40,103,Euro 5,78,51RST1,715/2007*692/2008F,50.00,3750,NA,70,NA,NA,NA
Benzine,1,4.40,5.10,6.30,119,Euro 4,81,75HKF6,70/220*2003/76B,51.00,4125,NA,72,NA,NA,NA
Benzine,1,4.30,5.30,7.20,125,Euro 6,77,PN090D,715/2007*136/2014W,51.00,3750,NA,69,NA,NA,NA
Benzine,1,5.10,5.80,6.90,134,Euro 5,72,38ZNX9,715/2007*566/2011F,125.00,3750,NA,NA,NA,0.00056,NA
Diesel,1,3.50,3.80,4.30,99,Euro 6,69,HK860P,715/2007*2015/45W,88.20,2700,NA,NA,NA,0.00071,0.50
Benzine,1,4.60,5.80,7.80,139,Euro 4,80,80SBSN,70/220*2003/76B,59.00,4200,NA,71,NA,NA,NA
Benzine,1,5.80,7.20,9.60,169,Euro 6,75,SP283B,715/2007*459/2012W,88.00,3675,NA,72,NA,NA,NA
Elektriciteit,2,NA,NA,NA,NA,Euro 6,NA,HG761J,715/2007*136/2014W,NA,NA,NA,NA,55.00,NA,NA
Benzine,1,NA,NA,NA,NA,Euro 6,76,HG761J,715/2007*136/2014W,110.00,3750,39.00000,73,NA,NA,NA
Diesel,1,3.10,3.40,3.90,88,Euro 5,71,2KBB27,715/2007*566/2011J,77.00,2700,NA,NA,NA,0.00026,0.50
Benzine,1,4.70,5.50,6.90,131,Euro 4,80,32ZPXL,70/220*2003/76B,63.00,4125,NA,70,NA,NA,NA
Benzine,1,5.50,6.50,8.20,152,Euro 5,70,5TNT55,715/2007*630/2012J,132.00,3750,NA,NA,NA,0.00146,NA
Benzine,1,4.80,6.00,8.20,139,Euro 5,75,9SJN76,715/2007*630/2012J,115.00,3750,NA,NA,NA,0.00035,NA
LPG,2,6.00,7.50,10.10,177,NA,84,97HPZ1,NA,88.00,4500,NA,74,NA,NA,NA
Benzine,1,6.00,7.50,10.10,177,NA,84,97HPZ1,NA,88.00,4500,NA,74,NA,NA,NA
Benzine,1,4.90,5.90,7.60,139,Euro 5,73,07PKT7,715/2007*692/2008A,74.00,3750,NA,NA,NA,NA,NA
Benzine,1,5.40,6.50,8.40,152,Euro 5,71,75NVP9,715/2007*692/2008F,132.00,3750,NA,NA,NA,0.00103,NA
Diesel,1,3.30,3.80,4.60,99,Euro 5,69,2SHZ42,715/2007*630/2012J,77.00,2375,NA,NA,NA,0.00013,0.50
Diesel,1,4.10,4.40,4.90,113,Euro 6,72,PN254K,715/2007*2015/45W,88.00,2700,NA,68,NA,0.00059,0.50
Benzine,1,5.40,6.70,8.90,159,Euro 4,83,14HVJ5,70/220*2003/76B,77.00,4500,NA,69,NA,NA,NA
Benzine,1,4.80,5.70,7.30,134,Euro 5,84,72PVX5,715/2007*692/2008A,74.00,3750,NA,NA,NA,NA,NA
Diesel,1,4.10,4.90,6.30,130,Euro 4,77,42XZPN,70/220*2003/76B,66.00,3000,NA,NA,NA,NA,0.50
Diesel,1,6.60,7.50,9.20,199,Euro 5,75,33HZR6,715/2007*692/2008A,176.00,2500,NA,NA,NA,0.00044,0.50
Benzine,1,3.40,3.80,4.50,88,Euro 6,76,NR055S,715/2007*2016/646W,51.00,3750,NA,69,NA,NA,NA
Benzine,1,4.70,5.90,7.90,138,Euro 5,79,07TFS4,715/2007*566/2011A,103.00,3750,NA,NA,NA,NA,NA
Benzine,1,3.90,4.50,5.50,105,Euro 6,68,GN675D,715/2007*136/2014W,66.00,2775,NA,NA,NA,0.00184,NA
Benzine,1,5.10,6.00,7.60,139,Euro 6,76,JJ543B,715/2007*136/2014W,103.00,3750,NA,72,NA,NA,NA
Benzine,1,5.50,6.90,9.40,159,Euro 5,77,34LTB8,715/2007*692/2008A,88.00,3750,NA,NA,NA,NA,NA
Diesel,1,3.40,3.90,4.80,102,Euro 5,72,14TGZ4,715/2007*692/2008A,77.00,2375,NA,NA,NA,0.00114,0.50
Benzine,1,5.60,6.60,8.30,154,Euro 5,72,6SHX26,715/2007*630/2012J,110.00,3750,NA,NA,NA,0.00121,NA
Benzine,1,3.80,4.30,5.10,99,Euro 6,78,KS073G,715/2007*2015/45W,48.00,3750,NA,70,NA,0.00120,NA
Diesel,1,3.20,3.60,4.30,95,Euro 5,80,36TSJ7,715/2007*692/2008A,70.00,3000,NA,NA,NA,0.00012,0.50
Benzine,1,5.40,6.80,9.20,159,Euro 5,71,1KRB13,715/2007*692/2008A,88.00,3750,NA,NA,NA,NA,NA
Diesel,1,3.10,3.40,3.90,88,Euro 5,71,02ZSB2,715/2007*566/2011J,77.00,2700,NA,NA,NA,0.00026,0.50
Benzine,1,5.10,6.40,8.50,149,Euro 5,73,22RLR6,715/2007*692/2008A,103.00,3750,NA,NA,NA,NA,NA
Benzine,1,3.90,4.40,5.40,102,Euro 6,73,NL639R,715/2007*136/2014W,77.00,3750,NA,70,NA,0.00240,NA
Benzine,1,5.80,7.30,10.00,175,Euro 4,83,37RFTR,70/220*2001/100B,74.00,4500,NA,71,NA,NA,NA
Benzine,1,3.80,4.30,5.10,99,Euro 5,75,9SHD33,715/2007*630/2012J,48.00,3375,NA,NA,NA,0.00178,NA
Benzine,1,3.80,4.30,5.10,99,Euro 5,81,76TPN2,715/2007*566/2011F,50.00,3750,NA,71,NA,NA,NA
Diesel,1,3.20,3.70,4.40,95,Euro 6,74,RT755L,715/2007*2016/646W,73.00,2813,NA,69,NA,0.00008,0.51
Benzine,1,5.80,7.20,9.50,169,Euro 5,78,2SPP49,715/2007*459/2012J,125.00,3750,NA,NA,NA,0.00363,NA
Benzine,1,5.40,7.10,9.80,169,NA,82,65HVV1,NA,107.00,4500,NA,NA,NA,NA,NA
Benzine,1,6.10,7.30,9.50,174,Euro 5,73,92TTL3,715/2007*692/2008F,125.00,3750,NA,NA,NA,0.00047,NA
Benzine,1,5.00,6.20,8.10,148,Euro 4,79,49HGT4,70/220*2003/76B,65.00,3938,NA,72,NA,NA,NA
Benzine,1,4.60,5.40,6.80,127,Euro 6,74,GX555S,715/2007*630/2012W,88.00,3600,NA,71,NA,NA,NA
Diesel,1,3.20,3.60,4.30,95,Euro 5,74,59SFZ9,715/2007*692/2008A,68.00,3000,NA,NA,NA,0.00053,0.51
Benzine,1,6.00,7.90,11.20,184,Euro 5,77,95LRK8,715/2007*692/2008A,107.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.50,5.60,7.40,129,Euro 5,82,33RRP4,715/2007*692/2008A,60.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.80,6.00,8.10,139,Euro 5,77,6KXV02,715/2007*692/2008A,77.00,3750,NA,69,NA,NA,NA
Diesel,1,3.50,3.90,4.60,103,Euro 6,77,NG735H,715/2007*136/2014W,100.00,3000,NA,71,NA,0.00170,0.50
Benzine,1,4.90,6.00,8.00,139,Euro 5,83,45RNF5,715/2007*692/2008A,54.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.30,5.00,6.20,117,Euro 5,84,4XFP63,715/2007*459/2012J,63.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.40,5.10,6.30,119,NA,81,3TTP60,70/220*2003/76B,51.00,4125,NA,72,NA,NA,NA
Benzine,2,6.00,6.80,8.10,153,Euro 6,71,PL830J,715/2007*2016/646ZD,185.00,3750,NA,72,NA,0.00046,NA
Elektriciteit,1,NA,NA,NA,NA,NA,NA,PL830J,NA,NA,NA,NA,NA,NA,NA,NA
Benzine,1,4.50,5.00,5.90,116,Euro 5,77,89RZJ7,715/2007*692/2008F,69.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.50,5.30,6.60,124,Euro 5,84,5KJD95,715/2007*459/2012J,74.00,3750,NA,NA,NA,NA,NA
Benzine,1,5.30,6.10,7.60,144,Euro 5,77,4TKV03,715/2007*459/2012J,103.00,3675,NA,71,NA,NA,NA
Benzine,1,4.40,5.10,6.30,119,Euro 4,81,03HTH8,70/220*2003/76B,51.00,4125,NA,72,NA,NA,NA
Diesel,1,4.70,5.30,6.50,139,Euro 5,73,4XFT07,715/2007*630/2012F,103.00,2813,NA,70,NA,0.00012,0.51
Diesel,1,3.60,3.90,4.40,102,Euro 6,69,KK075X,715/2007*136/2014W,81.00,2375,NA,69,NA,0.00008,0.50
Diesel,1,5.00,5.70,7.00,149,NA,78,4ZDG68,70/220*2003/76B,55.00,3000,NA,72,NA,0.02200,1.45
Diesel,1,3.10,3.30,3.70,85,Euro 5,72,5TRP82,715/2007*195/2013J,70.00,2850,NA,NA,NA,0.00050,0.62
Diesel,1,4.10,4.40,4.90,115,Euro 6,68,PN789N,715/2007*2016/646W,140.00,2375,NA,70,NA,NA,0.50
Benzine,1,5.80,7.60,10.70,182,Euro 4,80,53SFHK,70/220*2003/76B,90.00,4500,NA,72,NA,NA,NA
Benzine,1,5.30,6.60,8.80,158,Euro 4,81,51ZBTH,70/220*2003/76B,85.00,4500,NA,72,NA,NA,NA
Benzine,1,3.80,4.30,5.10,98,Euro 6,83,NK501K,715/2007*136/2014W,70.00,3750,NA,69,NA,0.00081,NA
Benzine,1,5.70,7.10,9.50,169,Euro 4,81,77XRTZ,70/220*2003/76B,80.00,4350,NA,73,NA,NA,NA
