PC,ADRES,PLAATS,OPP,KAMERS,VRGPRIJS,MAKELAAR
1057 VX,Balboastraat 44 HS                                    1,Amsterdam,51,3,349e3,Geldhof Makelaardij O.G.
1054 CC,Tweede Helmersstraat 39 I                                    1,Amsterdam,55,3,375e3,Hallie & Van Klooster Makelaardij
1069 ED,Langswater 508                                    1,Amsterdam,71,4,185e3,URBAN MAKELAARS AMSTERDAM
1055 PA,Doggersbankstraat 30 II                                    1,Amsterdam,48,3,25e4,Scholten Makelaars
1063 ZM,Lex Althoffstraat 25 hs                                    1,Amsterdam,68,4,225e3,Makelaar Amsterdam Kuijs Reinder Kakes
1082 TR,Heringa-State 55                                    1,Amsterdam,78,4,335e3,Makelaar Amsterdam Kuijs Reinder Kakes
1069 LE,Baden Powellweg 153                                    1,Amsterdam,50,1,169e3,Steijn & Steijn Makelaars
1055 MH,Admiraal De Ruijterweg 475 3                                    1,Amsterdam,111,4,549e3,Geldhof Makelaardij O.G.
1011 JP,Nieuwmarkt 7 E                                    1,Amsterdam,56,3,439e3,Hoen Makelaars B.V.
1056 SC,James Cookstraat 50 -I                                    1,Amsterdam,50,3,275e3,ISAAK makelaardij o.g. B.V.
1091 LM,Schalk Burgerstraat 80                                    1,Amsterdam,81,4,35e4,Hoekstra en van Eck Amsterdam Noord
1098 TS,Max Planckstraat 15 huis                                    1,Amsterdam,73,3,375e3,Broersma Makelaardij
1015 HS,Palmstraat 26 3                                    1,Amsterdam,78,4,5e5,Von Poll Real Estate
1058 GL,Surinameplein 9 hs                                    1,Amsterdam,145,4,9e5,Eefje Voogd Makelaardij
1098 BJ,Linnaeuskade 38 3                                    1,Amsterdam,114,6,595e3,BRIDGES Makelaardij B.V.
1082 KH,Gijsbrecht van IJselsteinstraat 183                                    1,Amsterdam,119,4,625e3,Rijsterborgh Makelaars b.v.
1011 VK,Rapenburgerstraat 73 D2                                    1,Amsterdam,49,2,385e3,Heeren Makelaars
1011 VK,Rapenburgerstraat 73 B3                                    1,Amsterdam,86,3,65e4,Heeren Makelaars
1011 VK,Rapenburgerstraat 73 C1                                    1,Amsterdam,53,2,41e4,Heeren Makelaars
1103 LL,Groenhoven 413                                    1,Amsterdam,54,2,169500,Linger OG
1103 LX,Groenhoven 759                                    1,Amsterdam,52,2,165e3,Linger OG
1104 EA,Kleiburg 808                                    1,Amsterdam,70,3,225e3,Linger OG
1058 SR,Vogelenzangstraat 12                                    1,Amsterdam,111,6,106e4,De Groot en Compagnons
1035 XB,Stentorstraat 29                                    1,Amsterdam,70,4,25e4,Hoekstra en van Eck Amsterdam Noord
1074 VJ,Tolstraat 123 hs                                    1,Amsterdam,105,5,645e3,De Graaf & Groot Makelaars
1074 VH,Tolstraat 117 II                                    1,Amsterdam,60,3,399e3,Aemestelle Makelaars v.o.f.
1055 EN,Gulden Winckelplantsoen 32 -II                                    1,Amsterdam,51,3,235e3,Voogd Makelaardij
1066 ET,Akerpolderstraat 15                                    1,Amsterdam,30,1,175e3,Keij & Stefels
1058 DG,Postjeskade 45 H                                    1,Amsterdam,73,3,5e5,Amstel Makelaardij o.g.
1064 WX,Rietveld Schröderpad 51                                    1,Amsterdam,82,3,275e3,Collectief Makelaars
1013 JC,Haarlemmerdijk 14 -I                                    1,Amsterdam,124,5,775e3,De Nieuwe Amsterdamsche Makelaardij
1060 NJ,Akersingel 67                                    1,Amsterdam,88,3,25e4,Makelaar Amsterdam Kuijs Reinder Kakes
1055 MJ,Admiraal De Ruijterweg 519 F                                    1,Amsterdam,30,2,229e3,De Nieuwe Amsterdamsche Makelaardij
1094 EP,Celebesstraat 53 B                                    1,Amsterdam,58,2,27e4,Makelaar Amsterdam Kuijs Reinder Kakes
1018 CN,Plantage Doklaan 32 -III                                    1,Amsterdam,80,4,649e3,De Nieuwe Amsterdamsche Makelaardij
1092 EA,Derde Oosterparkstraat 329                                    1,Amsterdam,105,4,535e3,HUYSSHOP Internetmakelaar
1077 HX,Beethovenstraat 107 B                                    1,Amsterdam,122,3,85e4,Broersma Makelaardij
1013 SN,Assendelftstraat 45                                    1,Amsterdam,79,3,439e3,Hoofdstad Makelaars
1016 GK,Runstraat 26 B                                    1,Amsterdam,100,5,875e3,BRIDGES Makelaardij B.V.
1011 PG,Waterlooplein 163                                    1,Amsterdam,68,2,325e3,De Eilanden Makelaardij o.g.
1058 NH,Legmeerstraat 76 2                                    1,Amsterdam,115,6,6e5,FEM Makelaars B.V.
1103 KD,Gouden Leeuw 207                                    1,Amsterdam,53,2,155e3,Linger OG
1103 KV,Gouden Leeuw 916                                    1,Amsterdam,53,2,159e3,Linger OG
1056 GV,Admiraal De Ruijterweg 144 3                                    1,Amsterdam,77,3,425e3,Your Home Makelaars
1015 KR,Tichelstraat 1 a                                    1,Amsterdam,134,5,9e5,Von Poll Real Estate
1015 CE,Keizersgracht 55                                    1,Amsterdam,273,9,235e4,Flexstone Makelaars
1104 EA,Kleiburg 26 B                                    1,Amsterdam,126,3,3e5,Van Gent Makelaardij
1064 ME,Noordzijde 245                                    1,Amsterdam,75,3,275e3,makelaarFRANK
1068 VM,President Allendelaan 359                                    1,Amsterdam,106,4,415e3,makelaarFRANK
1054 VA,Rhijnvis Feithstraat 60 -hs                                    1,Amsterdam,96,4,685e3,Keij & Stefels
1055 BM,Sanderijnstraat 9 I                                    1,Amsterdam,57,3,285e3,Eefje Voogd Makelaardij
1031 BV,Hagedoornplein 22                                    1,Amsterdam,116,4,675e3,FEM Makelaars B.V.
1060 RZ,Eurokade 41                                    1,Amsterdam,143,5,445e3,makelaarFRANK
1063 CB,Fritz Conijnstraat 35                                    1,Amsterdam,77,3,295e3,Hallie & Van Klooster Makelaardij
1011 TE,Prins Hendrikkade 550                                    1,Amsterdam,72,4,419e3,AWN Makelaardij
1074 XK,Sint Willibrordusstraat 63 hs                                    1,Amsterdam,64,3,425e3,JA! Jaap Admiraal makelaardij
1053 GB,Kinkerstraat 276 A                                    1,Amsterdam,48,2,299500,makelaarFRANK
1095 BS,Ceramplein 47                                    1,Amsterdam,80,3,375e3,Alice Bakker Makelaardij O.G.
1017 DT,Keizersgracht 649                                    1,Amsterdam,56,3,535e3,Hoen Makelaars B.V.
1072 NC,Eerste Jan Steenstraat 59                                    1,Amsterdam,66,3,375e3,FEM Makelaars B.V.
1057 CZ,Hoofdweg 297 1                                    1,Amsterdam,58,3,3e5,Amsterdam @ Home Makelaars
1066 EJ,Osdorperweg 41                                    1,Amsterdam,133,4,425e3,makelaarFRANK
1066 RA,Kempenlaan 79                                    1,Amsterdam,102,4,299e3,Hoen Makelaars B.V.
1018 GD,Sarphatistraat 141 D                                    1,Amsterdam,96,1,48e4,Peters en Partners
1031 EB,Van der Pekstraat 30 hs                                    1,Amsterdam,44,2,269e3,Meerdere makelaars betrokken
1031 GP,Oleanderstraat 29 hs                                    1,Amsterdam,44,2,279e3,Meerdere makelaars betrokken
1018 TS,Plantage Muidergracht 145 O                                    1,Amsterdam,52,2,35e4,Von Poll Real Estate
1014 ZC,Wiborgeiland 171                                    1,Amsterdam,232,6,1573440,Eefje Voogd Makelaardij
1107 CM,Wethouder Ramstraat 7                                    1,Amsterdam,100,5,275e3,AVT Makelaars
1087 LP,Annie Boshof 1 +PP                                    1,Amsterdam,157,6,6e5,Burger Elkerbout Makelaars en Taxateurs o.z. BV
1106 SX,Parkhof 21                                    1,Amsterdam,130,4,349e3,Makelaarsland
1103 PS,Geerdinkhof 104                                    1,Amsterdam,127,5,375e3,Eefje Voogd Makelaardij
1065 KC,Hemsterhuisstraat 80                                    1,Amsterdam,96,5,42e4,Fred Koot Makelaardij
1011 RB,Muiderstraat 12                                    1,Amsterdam,240,8,15e5,Brummer Makelaars en Taxateurs o.g.
1057 ZJ,Witte de Withstraat 140 -1                                    1,Amsterdam,62,4,325e3,VHM Makelaars Amsterdam
1083 HM,Tommaso Albinonistraat 64                                    1,Amsterdam,112,3,549e3,"Makelaarsgroep Ameo, vestiging Amsterdam Zuid"
1057 JL,Kortenaerstraat 19 1                                    1,Amsterdam,68,3,399e3,Smit & Heinen Makelaars en Taxateurs o/z
1059 BS,Generaal Vetterstraat 13 I                                    1,Amsterdam,79,4,375e3,Eefje Voogd Makelaardij
1072 RV,Jozef Israëlskade 16 D                                    1,Amsterdam,93,4,625e3,Van Baerle Makelaars
1015 NH,Anjeliersstraat 16 -B                                    1,Amsterdam,75,3,55e4,Recourt Makelaars
1064 EJ,Burgemeester Hogguerstraat 1113                                    1,Amsterdam,78,4,285e3,Henk Burger Makelaardij
1017 XS,Weteringschans 88 II                                    1,Amsterdam,240,8,165e4,AREA
1013 HC,Brouwersgracht 190 -B                                    1,Amsterdam,77,4,545e3,Ouwehand v/d Meijden Makelaars B.V.
1016 TL,Marnixstraat 214 B                                    1,Amsterdam,49,3,325e3,Hallie & Van Klooster Makelaardij
1091 NS,Albert Luthulistraat 37 B                                    1,Amsterdam,40,2,26e4,Makelaarsland
1052 VL,Gillis van Ledenberchstraat 118 D                                    1,Amsterdam,90,3,625e3,Willemspark O.G.
1083 CW,Wamberg 38                                    1,Amsterdam,117,4,469e3,Hoen Makelaars B.V.
1017 VE,Nieuwe Looiersstraat 116                                    1,Amsterdam,52,2,345e3,Recourt Makelaars
1052 SJ,Da Costakade 10 C                                    1,Amsterdam,132,4,899e3,Keizerskroon Makelaars
