PC,ADRES,PLAATS,OPP,KAMERS,VRGPRIJS,MAKELAAR
2492 SH,Mosselhof 12                                    ,Den Haag,151,6,532e3,Makelaarscentrum
2548 ZH,Wim Sonneveldplein 58                                    ,Den Haag,144,6,365e3,Olsthoorn NVM Makelaars
2524 CK,Guido Gezellestraat 5                                    ,Den Haag,122,6,245e3,Olsthoorn NVM Makelaars
2596 BW,Jan van Nassaustraat 92                                    ,Den Haag,290,10,1225e3,Frisia Makelaars
2498 CW,Melkeppe 44                                    ,Den Haag,142,6,398e3,Van Oosterom & Verhagen Makelaars
2548 CR,Laan van Wateringse Veld 938                                    ,Den Haag,143,5,425e3,Olsthoorn NVM Makelaars
2587 XK,Doorniksestraat 51                                    ,Den Haag,195,7,775e3,Joost van Vliet Makelaars o.g.
2498 AZ,Wollegras 62                                    ,Den Haag,128,5,392500,Van Oosterom & Verhagen Ypenburg B.V.
2497 VZ,Noortdijk 43                                    ,Den Haag,168,6,385e3,Van Oosterom & Verhagen Ypenburg B.V.
2548 SG,Lievensbergstraat 31                                    ,Den Haag,156,5,36e4,Olsthoorn NVM Makelaars
2566 SH,Tuinfluiterlaan 9                                    ,Den Haag,124,6,7e5,Anna's Makelaardij
2542 TE,Zwaardvegersgaarde 18                                    ,Den Haag,127,5,289e3,Borgdorff Makelaars Wateringen
2548 EA,Menno ter Braakstraat 74                                    ,Den Haag,176,6,47e4,Olsthoorn NVM Makelaars
2548 LX,Fivelingosingel 59                                    ,Den Haag,174,5,535e3,Olsthoorn NVM Makelaars
2498 BP,Zomereik 20                                    ,Den Haag,230,6,825e3,Steenks & Van Deelen Makelaars-Taxateurs
2548 NG,Gaasterlandlaan 11                                    ,Den Haag,140,7,385e3,Van Oosterom & Verhagen Makelaars
2564 AL,Laan van Meerdervoort 648                                    ,Den Haag,258,7,795e3,Koenders Makelaardij
2548 PA,Keukenhoflaan 52                                    ,Den Haag,173,5,589e3,Olsthoorn NVM Makelaars
2548 PD,Keukenhoflaan 107                                    ,Den Haag,148,7,449e3,Olsthoorn NVM Makelaars
2548 WZ,Waterbiesweg 66                                    ,Den Haag,191,6,625e3,Van Oosterom & Verhagen Makelaars
2545 WE,Grolloostraat 9                                    ,Den Haag,142,5,438e3,Korff de Gidts
2548 TV,Praagsingel 233                                    ,Den Haag,131,6,335e3,Elzenaar NVM Makelaars Wateringse Veld
2498 DV,Moerasvaren 72                                    ,Den Haag,244,8,749e3,Van Oosterom & Verhagen Ypenburg B.V.
2548 NH,Reiderlandlaan 32                                    ,Den Haag,137,6,387500,Van Oosterom & Verhagen Makelaars
2552 LB,Dr. L.J. Rogierstraat 62                                    ,Den Haag,83,3,25e4,Borgdorff Makelaars Den Haag
2566 DL,Laan van Poot 406                                    ,Den Haag,145,8,739e3,Korff de Gidts
2497 ND,Henricuskade 277                                    ,Den Haag,203,4,695e3,Elzenaar NVM Makelaars Wateringse Veld
2586 CE,Maaswijkstraat 60 62                                    ,Den Haag,129,6,45e4,RM Wonen NVM Makelaardij
2548 HE,Buenos Aireshof 29                                    ,Den Haag,130,4,35e4,Borgdorff Makelaars Wateringen
2553 EH,Oostmadeweg 19 - B                                    ,Den Haag,321,10,125e4,Janson Makelaardij BV
2548 JB,Miamihof 30                                    ,Den Haag,180,6,365e3,Olsthoorn NVM Makelaars
2492 WZ,Arenastraat 95                                    ,Den Haag,153,5,657e3,dx11makelaar
2514 EP,Hartogstraat 3                                    ,Den Haag,253,6,1195e3,Frisia Makelaars
2553 GX,Gravin Jacobalaan 20                                    ,Den Haag,260,9,119e4,DOEN NVM Makelaars
2548 WH,Vuurland 59                                    ,Den Haag,134,5,385e3,Olsthoorn NVM Makelaars
2548 WE,Langeland 8                                    ,Den Haag,178,6,5e5,Olsthoorn NVM Makelaars
2595 SN,3e Louise de Colignystraat 89                                    ,Den Haag,232,9,875e3,Langezaal
2544 NX,Abdis Badelogehof 9                                    ,Den Haag,182,7,847e3,Janson Makelaardij BV
2492 TW,Zeedadelhof 8                                    ,Den Haag,200,7,499500,mijneigenhuisverkopen.nl
2548 AA,De Rhijenhof 6 B                                    ,Den Haag,485,9,17e5,Meerdere makelaars betrokken
2517 RM,Voltastraat 8                                    ,Den Haag,100,4,4e5,Koenders Makelaardij
2565 TW,Asterstraat 72                                    ,Den Haag,68,4,195e3,Lex van Leeuwen NVM Makelaars
2561 AK,Columbusstraat 245                                    ,Den Haag,140,6,45e4,Frisia Makelaars
2566 NB,Sportlaan 884                                    ,Den Haag,73,3,315e3,Bliek Makelaars
2595 CK,Juliana van Stolberglaan 409                                    ,Den Haag,141,4,375e3,ARE  Makelaars
2512 BZ,Raamstraat 35                                    ,Den Haag,81,3,295e3,Borgdorff Makelaars Den Haag
2563 BA,Laan van Meerdervoort 336 I                                    ,Den Haag,112,5,325e3,Korff de Gidts
2563 RK,Indigostraat 58                                    ,Den Haag,83,4,185e3,Frisia Makelaars
2562 VK,Kepplerstraat 169                                    ,Den Haag,90,4,25e4,Borgdorff Makelaars Den Haag
2595 BT,Prins Willem-Alexanderweg 151                                    ,Den Haag,125,3,4e5,Nelisse Makelaarsgroep
2593 ZZ,Willem van Outhoornstraat 56                                    ,Den Haag,79,3,225e3,ARE  Makelaars
2512 XV,Zuidwal 98 A                                    ,Den Haag,147,4,485e3,Röttgering NVM Makelaars
2597 XA,Van Trigtstraat 60                                    ,Den Haag,93,4,269500,Röttgering NVM Makelaars
2496 LS,Glansvogellaan 9                                    ,Den Haag,81,3,225e3,Van Oosterom & Verhagen Ypenburg B.V.
2597 HM,Theo Mann-Bouwmeesterlaan 568                                    ,Den Haag,145,5,445e3,Röttgering NVM Makelaars
2564 SM,Ananasstraat 59                                    ,Den Haag,95,5,399500,Lex van Leeuwen NVM Makelaars
2565 GJ,Goudenregenplein 16                                    ,Den Haag,115,4,349e3,Koenders Makelaardij
2591 JG,Suzannaland 40                                    ,Den Haag,92,4,298e3,Bliek Makelaars
2548 GP,Havannasingel 6                                    ,Den Haag,115,3,275e3,Olsthoorn NVM Makelaars
2566 ZN,Spreeuwenlaan 12                                    ,Den Haag,113,4,619e3,Korff de Gidts
2571 BC,Loosduinseweg 1077 a                                    ,Den Haag,80,4,199500,Hooghlanden makelaars
2545 EE,Leyweg 390                                    ,Den Haag,65,4,189500,Hooghlanden makelaars
2572 HC,Kaapstraat 31                                    ,Den Haag,88,5,137500,Borgdorff Makelaars Den Haag
2594 AX,Bezuidenhoutseweg 80 q                                    ,Den Haag,123,3,475e3,Borgdorff Makelaars Den Haag
2583 CP,Dr. Lelykade 206 c                                    ,Den Haag,166,4,599e3,RM Wonen NVM Makelaardij
2582 LP,Prins Mauritslaan 73                                    ,Den Haag,155,4,85e4,Nelisse Makelaarsgroep
2513 CD,Prinsestraat 10                                    ,Den Haag,121,4,489e3,Borgdorff Makelaars Den Haag
2565 EB,Segbroeklaan 408 C                                    ,Den Haag,92,3,239500,Van Oosterom & Verhagen Makelaars
2563 TT,Gagelplein 18                                    ,Den Haag,100,4,2e5,Koenders Makelaardij
2583 LL,Houtrustweg 381                                    ,Den Haag,135,4,89e4,Nelisse Makelaarsgroep
2545 HK,Leyweg 1300 - F                                    ,Den Haag,159,5,425e3,Janson Makelaardij BV
2548 WG,Gotland 42                                    ,Den Haag,186,5,475e3,Olsthoorn NVM Makelaars
2555 JP,Tannhäuserstraat 20                                    ,Den Haag,104,4,319500,Borgdorff Makelaars Den Haag
2564 PS,Goudreinetstraat 241                                    ,Den Haag,84,4,275e3,Borgdorff Makelaars Den Haag
2594 AW,Bezuidenhoutseweg 72 D                                    ,Den Haag,123,3,469500,Röttgering NVM Makelaars
2517 RA,Galvanistraat 7 A                                    ,Den Haag,91,6,395e3,Koenders Makelaardij
2544 VX,Wezelrade 81 a                                    ,Den Haag,82,4,175e3,Elzenaar NVM Makelaars Wateringse Veld
2585 JV,Duinweg 91                                    ,Den Haag,203,4,1598e3,Frisia Makelaars
2497 CB,Plesmanlaan 92                                    ,Den Haag,134,5,329500,Van Oosterom & Verhagen Ypenburg B.V.
2566 VC,Kauwlaan 12                                    ,Den Haag,175,8,998e3,Joost van Vliet Makelaars o.g.
2564 SN,Ananasstraat 75                                    ,Den Haag,162,7,495e3,Lex van Leeuwen NVM Makelaars
2496 HT,Eksterhof 13                                    ,Den Haag,100,5,325e3,Van Oosterom & Verhagen Ypenburg B.V.
2545 WL,Wachtumstraat 36                                    ,Den Haag,97,4,299500,Hooghlanden makelaars
2581 AK,Van Boetzelaerlaan 50                                    ,Den Haag,212,8,85e4,RM Wonen NVM Makelaardij
2523 JC,Van Vlotenstraat 20                                    ,Den Haag,111,5,25e4,Elzenaar NVM Makelaars Wateringse Veld
2496 VC,Wingerd 62                                    ,Den Haag,150,6,8e5,Van Oosterom & Verhagen Ypenburg B.V.
2566 DW,Kwartellaan 6                                    ,Den Haag,179,7,85e4,Stokman Van Duren NVM makelaars-taxateurs
2546 SP,Maarsbergenstraat 165                                    ,Den Haag,184,6,45e4,Elzenaar NVM Makelaarskantoor
2584 AL,Doornstraat 11                                    ,Den Haag,250,10,875e3,Robert van der Zwan Makelaardij B.V.
2496 VW,Guirlande 1                                    ,Den Haag,194,6,895e3,Van Oosterom & Verhagen Ypenburg B.V.
2523 JH,Rodenbachstraat 35                                    ,Den Haag,103,5,225e3,Van Oosterom & Verhagen Ypenburg B.V.
2514 BJ,Hooikade 26 A                                    ,Den Haag,140,4,665e3,RM Wonen NVM Makelaardij
2548 ZT,Ko van Dijkplein 43                                    ,Den Haag,150,5,375e3,Olsthoorn NVM Makelaars
2498 BP,Zomereik 20                                    ,Den Haag,230,6,825e3,Van Oosterom & Verhagen Makelaars
2515 XS,Hillebrant Jacobsplein 46                                    ,Den Haag,166,6,525e3,Frisia Makelaars
2553 EV,Gravin Machteldlaan 7                                    ,Den Haag,370,10,2695e3,DOEN NVM Makelaars
2597 RD,De Bruynestraat 15                                    ,Den Haag,160,8,725e3,RM Wonen NVM Makelaardij
2548 AA,De Rhijenhof 6 a                                    ,Den Haag,220,6,85e4,Olsthoorn NVM Makelaars
2541 AA,Olststraat 21                                    ,Den Haag,182,6,38e4,Borgdorff Makelaars Wateringen
2586 HA,Seinpoststraat 12                                    ,Den Haag,200,7,849e3,Plink Garantiemakelaars
2566 WD,Sijzenlaan 41                                    ,Den Haag,198,7,1295e3,Frisia Makelaars
2548 WE,Langeland 1                                    ,Den Haag,175,6,45e4,Elzenaar NVM Makelaars Wateringse Veld
2595 SB,Van Imhoffstraat 21                                    ,Den Haag,222,8,795e3,Steenks & Van Deelen Makelaars-Taxateurs
2597 LL,Wagenaarweg 7                                    ,Den Haag,306,8,1995e3,Nelisse Makelaarsgroep
2585 AM,Javastraat 2 A                                    ,Den Haag,362,9,1495e3,Nelisse Makelaarsgroep
2596 JN,Oostduinlaan 16                                    ,Den Haag,278,12,1425e3,Paul F. de Haas & Co
2565 ST,Begoniastraat 206                                    ,Den Haag,105,5,25e4,Joost van Vliet Makelaars o.g.
2546 VX,Amerongenstraat 54                                    ,Den Haag,72,4,149500,Hooghlanden makelaars
2531 AB,Troelstrakade 79                                    ,Den Haag,73,4,137500,Hooghlanden makelaars
2496 SK,Oude Kustlijn 53                                    ,Den Haag,138,5,34e4,Nivita Makelaars
2593 ZC,Joan Maetsuyckerstraat 3 A                                    ,Den Haag,119,4,399e3,RM Wonen NVM Makelaardij
2551 KV,Julius Röntgenstraat 56                                    ,Den Haag,83,4,209e3,Borgdorff Makelaars Den Haag
2563 CP,Valkenboslaan 130                                    ,Den Haag,174,5,475e3,RM Wonen NVM Makelaardij
2512 EE,Prinsegracht 253                                    ,Den Haag,112,3,36e4,Steenks & Van Deelen Makelaars-Taxateurs
2555 CD,Laan van Meerdervoort 1238                                    ,Den Haag,85,3,25e4,Koenders Makelaardij
2593 ZL,Joan Maetsuyckerstraat 6                                    ,Den Haag,185,3,685e3,RE/MAX Extra
2544 VT,Wezelrade 19 d                                    ,Den Haag,82,4,189500,Elzenaar NVM Makelaars Wateringse Veld
2544 VB,Eekhoornrade 26                                    ,Den Haag,71,3,169e3,Elzenaar NVM Makelaars Wateringse Veld
2564 JN,Vlierboomstraat 542                                    ,Den Haag,86,4,329500,Lex van Leeuwen NVM Makelaars
2541 PZ,Koekangestraat 132                                    ,Den Haag,66,3,135e3,Borgdorff Makelaars Wateringen
2597 VZ,Van Trigtstraat 20                                    ,Den Haag,93,4,269500,Röttgering NVM Makelaars
2572 AC,Scheepersstraat 31 a                                    ,Den Haag,62,2,99900,Borgdorff Makelaars Den Haag
2513 TP,Oude Boomgaardstraat 41                                    ,Den Haag,70,3,225e3,Borgdorff Makelaars Den Haag
2541 GE,Melis Stokelaan 1980                                    ,Den Haag,86,3,197500,Borgdorff Makelaars Wateringen
2522 GN,Linnaeusstraat 275                                    ,Den Haag,61,3,125e3,Borgdorff Makelaars Den Haag
2555 ZR,Notenplein 10                                    ,Den Haag,95,4,3e5,Olsthoorn Makelaars Appelstraat B.V.
2546 AD,Vreeswijkstraat 141                                    ,Den Haag,94,4,259e3,Elzenaar NVM Makelaarskantoor
2565 WR,Sleedoornstraat 96                                    ,Den Haag,127,5,419e3,Korff de Gidts
2563 JL,Valkenboskade 476                                    ,Den Haag,100,4,35e4,ARE Meijer Makelaars
2564 SE,Perenstraat 18                                    ,Den Haag,82,3,349500,Elzenaar NVM Makelaarskantoor
2566 ZC,Mezenlaan 43                                    ,Den Haag,151,6,639e3,Korff de Gidts
2596 GS,Weissenbruchstraat 414                                    ,Den Haag,116,5,395e3,RM Wonen NVM Makelaardij
2545 WK,Drouwenstraat 40                                    ,Den Haag,112,4,275e3,Elzenaar NVM Makelaarskantoor
2493 XG,Bergermeerstraat 71                                    ,Den Haag,96,3,309e3,De Bruyn en Tak
2565 BL,Stokroosstraat 105                                    ,Den Haag,137,5,29e4,Onesta Vastgoed
2517 BJ,Laan van Meerdervoort 208 C                                    ,Den Haag,144,3,675e3,Koenders Makelaardij
2546 RM,Polsbroekstraat 48                                    ,Den Haag,109,5,209500,Elzenaar NVM Makelaarskantoor
2582 TC,Antonie Duyckstraat 31                                    ,Den Haag,182,6,598e3,Korff de Gidts
2564 XH,Morelstraat 116                                    ,Den Haag,76,4,245e3,Van Oosterom & Verhagen Makelaars
2564 BK,Thorbeckelaan 213                                    ,Den Haag,147,6,395e3,Tettero & Wetters Makelaars
2561 SB,Ohmstraat 61                                    ,Den Haag,98,4,275e3,Elzenaar NVM Makelaarskantoor
2586 CN,Gevers Deynootplein 71                                    ,Den Haag,127,4,425e3,Elzenaar NVM Makelaarskantoor
2525 HS,Hoefkade 1528                                    ,Den Haag,80,4,189500,Hooghlanden makelaars
2513 BJ,Molenstraat 33                                    ,Den Haag,149,5,45e4,Anna's Makelaardij
2512 VS,Assendelftstraat 7                                    ,Den Haag,127,4,449e3,Stokman Van Duren NVM makelaars-taxateurs
2586 BG,Gevers Deynootweg 57 C                                    ,Den Haag,102,4,5e5,Nelisse Makelaarsgroep
2586 VM,Katwijkstraat 95                                    ,Den Haag,131,4,35e4,Borgdorff Makelaars Den Haag
2517 JH,Alexander Gogelweg 18 D                                    ,Den Haag,200,5,1195e3,Nelisse Makelaarsgroep
2517 KH,Carnegielaan 84                                    ,Den Haag,186,4,1295e3,Frisia Makelaars
2587 VK,Zwolsestraat 416                                    ,Den Haag,108,3,275e3,Frisia Makelaars
2586 KC,Rederserf 72                                    ,Den Haag,192,6,1195e3,Makelaarsland
2544 MG,Dassenrade 80                                    ,Den Haag,165,6,385e3,iSee Makelaars
2496 HX,Gruttosingel 58                                    ,Den Haag,145,5,545e3,Van Oosterom & Verhagen Ypenburg B.V.
2496 VC,Wingerd 58                                    ,Den Haag,143,5,6e5,Van Oosterom & Verhagen Ypenburg B.V.
2566 TH,Pauwenlaan 4                                    ,Den Haag,149,9,695e3,Joost van Vliet Makelaars o.g.
2496 ZC,Windjammersingel 34                                    ,Den Haag,151,7,36e4,iSee Makelaars
2493 XM,Boterpolderstraat 2                                    ,Den Haag,153,6,475e3,Van Oosterom & Verhagen Ypenburg B.V.
2546 CZ,Jaarsveldstraat 302                                    ,Den Haag,112,5,349e3,Elzenaar NVM Makelaarskantoor
2585 JD,Hogeweg 2                                    ,Den Haag,316,12,245e4,Nelisse Makelaarsgroep
2511 XC,Nieuwe Havendwarsstraat 7                                    ,Den Haag,138,5,45e4,Nelisse Makelaarsgroep
2493 ZV,Socrateslaan 35                                    ,Den Haag,174,8,699500,Van Oosterom & Verhagen Ypenburg B.V.
2548 PR,Graafschapplantsoen 2                                    ,Den Haag,183,5,695e3,Rijnbeek Makelaars
2543 BL,Eindstede 42                                    ,Den Haag,171,6,395e3,Elzenaar NVM Makelaars Wateringse Veld
2496 VJ,Wingerd 162                                    ,Den Haag,167,6,85e4,Van Oosterom & Verhagen Makelaars
2582 GW,Statenlaan 120                                    ,Den Haag,371,10,135e4,Nelisse Makelaarsgroep
2582 NH,Johan van Oldenbarneveltlaan 35                                    ,Den Haag,503,13,2675e3,Korff de Gidts
2553 EV,Gravin Machteldlaan 13                                    ,Den Haag,517,9,2495e3,DOEN NVM Makelaars
2548 AC,Noordweg 42 b                                    ,Den Haag,174,7,595e3,Rijnpoort Makelaars
2565 RN,Zonnebloemstraat 19                                    ,Den Haag,98,5,369e3,Bliek Makelaars
2498 ET,Waterviolier 37                                    ,Den Haag,142,5,449e3,Meerdere makelaars betrokken
2547 XS,Wormerveerstraat 24                                    ,Den Haag,80,5,269e3,Bliek Makelaars
2517 EM,Groot Hertoginnelaan 132                                    ,Den Haag,308,8,1079e3,Korff de Gidts
2548 WT,Waterkersvijver 5                                    ,Den Haag,212,6,745e3,Van Daal Makelaardij
2552 JV,J. Bosmanstraat 19                                    ,Den Haag,128,5,255e3,Bliek Makelaars
2595 VN,Charlotte de Bourbonstraat 120                                    ,Den Haag,71,3,242500,Makelaarscentrum
2574 BD,Soestdijksekade 509                                    ,Den Haag,92,4,24e4,Onesta Vastgoed
2522 SX,Oudemansstraat 353                                    ,Den Haag,74,4,175e3,Van Oosterom & Verhagen Makelaars
2561 BC,Edisonstraat 107                                    ,Den Haag,93,5,345e3,Elzenaar NVM Makelaarskantoor
2518 JJ,Koningin Emmakade 134                                    ,Den Haag,71,2,2e5,Borgdorff Makelaars Den Haag
2552 BH,Loosduinse Hoofdstraat 588                                    ,Den Haag,88,4,225e3,Bliek Makelaars
2564 HJ,Vlierboomstraat 243                                    ,Den Haag,71,3,189e3,Korff de Gidts
2496 HK,Weidevogellaan 32                                    ,Den Haag,122,4,249500,TW3 Strategie Marketing Makelaardij
2591 JZ,Suzannaland 592                                    ,Den Haag,92,3,21e4,Röttgering NVM Makelaars
2517 SW,Dunklerstraat 28                                    ,Den Haag,66,2,2e5,Korff de Gidts
2551 EX,Louis Davidsstraat 94                                    ,Den Haag,83,3,25e4,RM Wonen NVM Makelaardij
2584 AN,Doornstraat 162                                    ,Den Haag,140,6,389e3,Korff de Gidts
2571 AE,Loosduinseweg 449                                    ,Den Haag,73,2,17e4,Onesta Vastgoed
2564 PH,Abrikozenplein 57                                    ,Den Haag,79,4,295e3,Bliek Makelaars
2595 GN,Mariastraat 54                                    ,Den Haag,81,4,269e3,Van Oosterom & Verhagen Makelaars
2546 BP,Driebergenstraat 182                                    ,Den Haag,63,3,149500,Hooghlanden makelaars
2573 BM,Schaarsbergenstraat 15                                    ,Den Haag,75,4,139500,Arnold Taal Makelaardij
2581 TL,Van St. Aldegondeplein 17 F                                    ,Den Haag,88,4,349500,Plink Garantiemakelaars
2566 GJ,Houtrustweg 108                                    ,Den Haag,108,4,55e4,Korff de Gidts
2573 PL,Lunterenstraat 283                                    ,Den Haag,122,4,225e3,Arnold Taal Makelaardij
2596 GN,Weissenbruchstraat 270                                    ,Den Haag,125,5,535e3,Röttgering NVM Makelaars
2517 BK,Laan van Meerdervoort 218 N                                    ,Den Haag,80,4,245e3,Arnold Taal Makelaardij
2582 LP,Prins Mauritslaan 75 a                                    ,Den Haag,113,4,625e3,Nelisse Makelaarsgroep
2582 LP,Prins Mauritslaan 75                                    ,Den Haag,127,4,725e3,Nelisse Makelaarsgroep
2582 LP,Prins Mauritslaan 71 b                                    ,Den Haag,121,4,695e3,Nelisse Makelaarsgroep
2582 LP,Prins Mauritslaan 71 a                                    ,Den Haag,112,4,625e3,Nelisse Makelaarsgroep
2582 LP,Prins Mauritslaan 71                                    ,Den Haag,130,1,75e4,Nelisse Makelaarsgroep
2582 LN,Prins Mauritslaan 69                                    ,Den Haag,141,4,825e3,Nelisse Makelaarsgroep
2582 JT,Van Aerssenstraat 144 C/144D                                    ,Den Haag,157,5,675e3,Nelisse Makelaarsgroep
2563 KK,Kamperfoeliestraat 20                                    ,Den Haag,58,4,175e3,Arnold Taal Makelaardij
2574 ED,Soestdijksekade 814                                    ,Den Haag,149,8,225e3,Arnold Taal Makelaardij
2561 DT,Fahrenheitstraat 223                                    ,Den Haag,90,3,225e3,Borgdorff Makelaars Den Haag
2586 ED,Seinpostduin 453                                    ,Den Haag,86,3,275e3,Elzenaar NVM Makelaarskantoor
2586 SE,Jurriaan Kokstraat 101                                    ,Den Haag,72,3,3e5,Elzenaar NVM Makelaarskantoor
2573 ZT,Harderwijkstraat 244                                    ,Den Haag,68,4,157500,Arnold Taal Makelaardij
2492 JR,Simon Carmiggelthof 79                                    ,Den Haag,80,3,259e3,De Bruyn en Tak
2548 BN,Laan van Wateringse Veld 705                                    ,Den Haag,148,4,399500,Elzenaar NVM Makelaars Wateringse Veld
2553 DC,Ernest Hemingwaypark 39                                    ,Den Haag,140,5,579e3,88 Makelaars
2496 MN,Rietgorsstraat 5                                    ,Den Haag,159,6,445e3,Freek Fontein Makelaardij BV
2497 XA,Van der Voortvaart 28                                    ,Den Haag,114,5,259500,TW3 Strategie Marketing Makelaardij
2548 PC,Keukenhoflaan 43                                    ,Den Haag,186,7,675e3,Frisia Makelaars
2553 EV,Gravin Machteldlaan 23                                    ,Den Haag,370,6,1595e3,Van Oosterom & Verhagen Makelaars
2553 PC,Karperdaal 103                                    ,Den Haag,142,6,425e3,Arnold Taal Makelaardij
2585 GH,Surinamestraat 45                                    ,Den Haag,370,8,1665e3,Rijnbeek Makelaars
2496 VH,Wingerd 75                                    ,Den Haag,227,8,949e3,Freek Fontein Makelaardij BV
2553 EG,Madepolderweg 53 b                                    ,Den Haag,122,4,595e3,Borgdorff Makelaars Monster
2597 LG,Van Lennepweg 39                                    ,Den Haag,275,7,1795e3,Nelisse Makelaarsgroep
2517 AH,Laan van Meerdervoort 79                                    ,Den Haag,213,7,899e3,Elzenaar NVM Makelaars & Financiële Diensten
2517 BJ,Laan van Meerdervoort 202                                    ,Den Haag,241,8,75e4,Korff de Gidts
2594 BK,Blauwe Kamerlaan 9                                    ,Den Haag,189,8,865e3,Buise van Soest Makelaars
2514 HK,Willemstraat 51                                    ,Den Haag,284,10,1149e3,Makelaars Korporaal & Bertels Mauritskade B.V.
2543 GL,Melis Stokezijde 197                                    ,Den Haag,82,3,17e4,Arnold Taal Makelaardij
2561 DG,Fahrenheitstraat 438                                    ,Den Haag,77,3,23e4,Onesta Vastgoed
2593 AM,Theresiastraat 361                                    ,Den Haag,85,4,25e4,RM Wonen NVM Makelaardij
2522 BK,Deimanstraat 315                                    ,Den Haag,72,4,15e4,Van Oosterom & Verhagen Makelaars
2565 EN,Goudenregenstraat 83                                    ,Den Haag,98,5,229e3,Bliek Makelaars
2574 HA,Zuiderparklaan 35                                    ,Den Haag,59,3,199500,Hooghlanden makelaars
2546 CG,Vreeswijkstraat 296                                    ,Den Haag,65,3,149500,Hooghlanden makelaars
2563 VD,Ligusterstraat 44                                    ,Den Haag,93,4,24e4,Arnold Taal Makelaardij
2573 NC,Beekbergenstraat 12 4                                    ,Den Haag,74,4,275e3,Onesta Vastgoed
2597 XM,Thérèse Schwartzestraat 122                                    ,Den Haag,76,3,339e3,Korff de Gidts
2596 HC,Breitnerlaan 42                                    ,Den Haag,133,7,545e3,Otter Makelaardij
2512 EA,Herderinnestraat 20                                    ,Den Haag,107,4,35e4,Elzenaar NVM Makelaarskantoor
2552 TV,Burgemeester Waldeckstraat 10                                    ,Den Haag,64,4,125e3,Arnold Taal Makelaardij
2591 JT,Suzannaland 452                                    ,Den Haag,100,3,245e3,Van Herk Makelaardij
2514 JP,Sophialaan 4 A                                    ,Den Haag,226,4,185e4,Nelisse Makelaarsgroep
2562 KG,Newtonstraat 185                                    ,Den Haag,131,6,345e3,Arnold Taal Makelaardij
2496 LG,Karekietsingel 51                                    ,Den Haag,138,5,499e3,Spirit Vastgoed | NVM Qualis
2493 ZC,Veenweg 97                                    ,Den Haag,340,9,1995e3,Spirit Vastgoed | NVM Qualis
2596 SR,Van Montfoortlaan 6                                    ,Den Haag,225,10,1185e3,i4 Housing B.V.
2548 AA,De Rhijenhof 8 A                                    ,Den Haag,180,5,845e3,Santen & Gasille Makelaars
2517 LD,Catsheuvel 157                                    ,Den Haag,178,4,995e3,Nelisse Makelaarsgroep
2555 JW,Riënzistraat 46                                    ,Den Haag,87,4,209e3,Hoogenraad NVM Makelaars
2597 VB,Jan Muschlaan 132                                    ,Den Haag,112,4,325e3,Korff de Gidts
2596 GA,Weissenbruchstraat 1 G                                    ,Den Haag,144,5,598e3,Makelaarscentrum
2564 EG,Appelstraat 24                                    ,Den Haag,154,6,439e3,Tettero & Wetters Makelaars
2564 LH,Mient 653                                    ,Den Haag,91,4,275e3,Bliek Makelaars
2597 AM,Van Alkemadelaan 14                                    ,Den Haag,173,6,489e3,Van Paaschen Makelaardij
2517 EK,Groot Hertoginnelaan 94                                    ,Den Haag,277,8,75e4,Tettero & Wetters Makelaars
2511 CB,Kalvermarkt 12 u                                    ,Den Haag,101,3,55e4,Korff de Gidts
2514 LM,Frederikstraat 84 A                                    ,Den Haag,197,7,845e3,RM Wonen NVM Makelaardij
2545 GP,Leyweg 764                                    ,Den Haag,45,2,129900,Hooghlanden makelaars
2581 TP,Van St. Aldegondeplein 42                                    ,Den Haag,98,5,275e3,Robert van der Zwan Makelaardij B.V.
2563 GT,Valkenboskade 66                                    ,Den Haag,86,4,239500,Nivita Makelaars
2564 XD,Morelstraat 151                                    ,Den Haag,114,4,275e3,C & D Makelaardij B.V.
2546 AV,Vreeswijkstraat 769                                    ,Den Haag,68,3,145e3,Hooghlanden makelaars
2514 JP,Sophialaan 4 C                                    ,Den Haag,135,4,1425e3,Nelisse Makelaarsgroep
2585 JL,Van Stolkweg 7                                    ,Den Haag,538,13,3295e3,Nelisse Makelaarsgroep
2513 GX,Elandstraat 186                                    ,Den Haag,62,2,229e3,Elzenaar NVM Makelaars & Financiële Diensten
2551 ET,Louis Davidsstraat 685                                    ,Den Haag,95,5,233e3,City Agency
2565 BH,Ranonkelstraat 371                                    ,Den Haag,94,5,265e3,Tettero & Wetters Makelaars
2498 BT,Zomereik 67                                    ,Den Haag,188,5,589e3,88 Makelaars
2592 EV,Jadehorst 27                                    ,Den Haag,212,7,539e3,Meerdere makelaars betrokken
2553 EV,Gravin Machteldlaan 16                                    ,Den Haag,258,4,1298e3,Frisia Makelaars
2564 CZ,Tomatenstraat 262                                    ,Den Haag,195,8,749500,Lex van Leeuwen NVM Makelaars
2542 VN,Drapeniersgaarde 163                                    ,Den Haag,123,5,369e3,Duttendael Makelaardij
2553 RK,Arie de Jongstraat 1                                    ,Den Haag,144,6,625e3,Van den Akker NVM Makelaars
2566 PJ,Spotvogellaan 20                                    ,Den Haag,179,9,895e3,Makelaarskantoor Reichman & Rommelaar
2553 EZ,Dirk van Wassenaarlaan 14                                    ,Den Haag,237,8,115e4,Agterberg Makelaardij
2582 KL,Van Beuningenstraat 81 a                                    ,Den Haag,122,5,5e5,Nelisse Makelaarsgroep
